Train results.,,,,,
IternationCount,MinErr,AverageErr,MaxError,PercentageError,PatternError
1,0.0010622,0.162556,0.997395,12.5,0.00410019
2,0.000878239,0.0869821,0.997104,6.25,0.00498271
3,0.00109669,0.0806286,0.997021,5.55,0.00461202
4,0.00103039,0.0745384,0.997582,5.15,0.00338564
5,0.000872208,0.0694565,0.998155,4.6,0.00217107
6,0.000615096,0.0646384,0.998781,4.4,0.00147599
7,0.000458516,0.0596912,0.999214,4.05,0.00104821
8,0.000386356,0.0563694,0.999401,3.8,0.000839094
9,0.000331465,0.0542942,0.999498,3.45,0.000705032
10,0.000294152,0.0526369,0.999565,3.35,0.000580881
11,0.00024571,0.051442,0.99963,3.35,0.000473178
12,0.000190998,0.0503546,0.999693,3.3,0.000385524
13,0.000152351,0.0492963,0.999755,3.3,0.000329743
14,0.000126422,0.0488374,0.999804,3.25,0.000333585
15,0.00010447,0.0482937,0.999837,3.25,0.000308227
