Generations,Fitness,PercentageError,ones_counter
0,236,16.15,29
1,234,13.2,31
2,229,15.55,32
3,223,14.7,33
4,221,15,35
5,219,15.5,36
6,216,13.75,37
7,209,14.05,39
8,207,13.9,40
9,202,11.05,41
10,200,14,42
11,197,13.6,44
12,194,10.2,45
13,190,13.45,46
14,189,13.15,48
15,178,13.4,49
16,175,13.45,51
17,165,13.6,52
18,165,13.55,53
19,163,12.05,52
20,163,11.3,55
21,163,12.45,56
22,160,9.9,59
23,158,10.3,60
24,154,10.3,61
25,149,9.35,63
26,143,8.9,64
27,141,8.15,66
28,137,8,68
29,136,6.7,69
30,129,7.8,71
31,127,6.5,72
32,125,7.7,73
33,120,7.6,74
34,118,7.3,75
35,112,7.05,76
36,110,6,77
37,110,5.45,82
38,108,6.4,79
39,102,4.35,84
40,99,4.5,85
41,95,5.85,87
42,91,5.45,88
43,87,5.65,89
44,79,5.05,91
45,79,4.95,93
46,77,5.4,94
47,75,5.1,95
48,72,3.65,97
49,67,4.3,99
50,67,2.95,99
51,64,3.7,101
52,59,3.3,104
53,52,3.1,105
54,49,3.25,106
