PercentageError,Fitness
4.3,244
7.75,241
10.7,241
15.8,241
9,241
5.75,241
10.95,241
16.15,239
15.6,239
10.5,239
15.5,236
15.05,236
9.25,236
15.65,236
15.6,236
13.2,236
15.65,234
15.7,234
15.45,234
14.8,234
13,234
15.6,234
15.65,232
15.55,231
15.25,231
14.35,229
15.3,229
9.6,229
14.05,229
15.7,229
14.65,227
14.7,227
12.55,227
15.15,226
15.15,224
15.4,224
15.4,223
14.8,223
15.25,223
15,222
11.9,222
15.35,222
14.55,221
15.1,221
14.7,221
15.2,221
14,219
15.5,219
13.55,219
11.45,219
14.5,219
13.9,219
12.85,219
14.7,219
11.75,219
13.75,217
13.7,217
13.9,217
15.15,217
12.25,216
10.65,216
15.25,215
15,214
14.05,214
13.9,212
13.4,212
14.05,212
13,212
14.95,211
11.45,211
13.3,210
13.9,209
13.9,209
13.65,209
13.3,209
11.85,209
18.05,209
13.2,207
13.25,207
11.05,207
12.4,207
13.35,206
12.45,205
13.5,204
14,204
14.2,204
13.8,202
14,202
9.7,202
13.9,201
12.85,200
8.8,200
13.8,200
14.35,200
10.95,200
13.6,200
13.5,199
13.4,197
11.6,197
10.95,197
13.55,197
13.3,197
13.7,195
10.2,195
13.55,195
13.65,195
13.1,195
10.3,195
13.35,195
13.6,195
13.6,194
13.45,192
13.45,192
13.4,192
12,190
11.85,190
13.5,190
14,190
11.55,189
13.15,189
13.5,189
12.35,187
15.7,187
13.55,187
13.5,187
13.55,185
10.2,185
13.4,185
13.5,182
13.2,182
13.75,180
13.5,178
13.65,175
11,175
13.4,175
13.45,175
13.65,175
13.75,173
13.75,173
13.6,173
13.5,172
13.45,172
12.2,170
13.6,170
13.6,170
13.8,170
12.4,170
13.6,168
12.9,168
13.65,168
9.65,168
13.55,168
12.9,168
13.5,168
10.8,168
13.45,167
13.55,166
13.75,166
12.4,166
12.05,166
13.6,166
13.15,165
13.6,165
10.25,165
11.8,165
13.55,163
13.6,163
11.3,163
10.55,163
10.05,163
13.45,163
13.6,163
10.5,163
13.75,163
13.5,163
12.45,163
10.45,161
10.1,161
10.35,161
10,161
10,161
10.35,161
10.3,160
9.9,160
9.65,158
10.2,158
10,158
9.85,158
10.1,158
9.95,158
9.7,158
10.3,158
8.7,156
9.15,156
10,156
8.2,156
11.75,156
9.3,156
9.7,156
10.3,154
9.7,153
9.1,153
8.4,151
9.6,151
9.3,151
8.25,150
9.6,150
9.35,149
8.75,149
8.95,149
9.05,148
8.45,147
9,146
8.25,146
8.6,146
8.9,144
8.6,144
8.9,144
8.95,144
7.9,144
8.75,143
8.3,143
7.05,143
8.15,142
9.15,141
8.5,141
7.9,141
7.8,141
8.2,141
6.8,139
8.1,139
8,139
7.8,137
6.7,137
8.8,137
8.8,137
8,137
8,137
7.8,137
6.7,136
7.3,136
7.55,134
7.65,134
8.1,134
7.05,132
7.4,132
7.55,132
7.8,130
6.6,130
7.4,130
7.1,130
7,129
7.7,129
7.9,129
7.25,129
6.5,127
7.65,127
7.7,127
7.3,127
6.5,127
7.4,127
6.7,127
7.6,127
7.7,125
6.95,125
7.7,125
6.65,122
7.3,121
7.1,121
6.45,121
7.35,121
7.6,121
5.65,121
7.1,120
6.4,119
6.95,119
7.15,119
7.45,119
7.15,119
7.3,118
6.65,118
7.15,116
6.65,116
7.25,116
7,116
6.55,115
7.45,114
7.05,114
6.8,114
6,114
6.7,114
5.4,113
6.05,113
6.05,112
6.2,111
6,111
5.65,111
6.3,111
6.25,111
6,111
5.95,111
5.9,111
6.55,110
5.45,110
6.05,109
6,109
5.75,109
6.25,109
6.45,109
6.55,109
5.95,109
6.4,108
6,106
5.6,106
4.85,106
6.45,104
5.45,104
5.75,104
5.9,103
4.35,102
4.55,102
4.8,102
5.55,101
5.35,101
5.6,101
5.75,100
5.9,100
4.5,99
5.7,99
5.5,99
4.9,99
5.3,99
5.65,96
5.75,96
5.5,96
5.85,96
5.5,95
5.05,94
5.15,94
4.1,94
5.5,93
5.55,92
5.75,92
5.45,91
5.45,91
5.8,91
5.35,91
3.95,90
5.3,89
5.45,89
4.35,88
5.65,87
4.15,87
4,87
4.15,86
3.8,86
3.85,86
5.1,86
5.25,86
5.05,84
4.25,84
3.9,84
5.65,84
3.75,83
3.9,83
5.7,81
4.2,81
4.95,81
5.55,81
4.1,81
4.75,81
4,80
5.25,79
5.5,79
5.3,79
5.4,79
4.2,79
4.25,79
3.75,78
4.1,77
4.85,77
4.95,77
4.4,77
5.1,76
4.1,75
3.5,74
4.05,74
3.75,74
3.8,73
3.7,73
4.15,73
3.65,72
3.7,72
3.7,72
3.8,72
3.65,72
4.35,70
4,70
3.9,70
4.3,70
3.75,70
3.85,69
3,68
4.1,67
4.05,67
3.9,67
4,67
2.95,67
3.9,67
3.9,65
4.1,65
5.1,65
3.95,64
3.5,64
3.5,64
3.7,64
4.2,64
3.2,62
3.7,62
3.15,62
3.45,62
3.75,62
4.25,61
3.3,59
3.4,59
3.4,59
3.5,59
3.15,59
3,58
3.35,57
3.5,56
3.1,55
3.05,55
3.3,54
2.85,53
3.45,52
3.45,52
3.25,50
3.45,50
3.25,49
